County,State,Category Type,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
Geauga County,Ohio,Female,"47,397","2,302","3,050","2,795","3,095","2,544","2,128","2,237","2,367","2,701","2,596","3,040","3,272","3,973","3,884","2,220","1,890","1,701","1,602","5,845","2,173","10,320","3,466","15,072","38,139","37,077","35,620","15,270","13,617","11,297","5,193"
Geauga County,Ohio,Percent Female,(X),4.90%,6.40%,5.90%,6.50%,5.40%,4.50%,4.70%,5.00%,5.70%,5.50%,6.40%,6.90%,8.40%,8.20%,4.70%,4.00%,3.60%,3.40%,12.30%,4.60%,21.80%,7.30%,31.80%,80.50%,78.20%,75.20%,32.20%,28.70%,23.80%,11.00%
Greene County,Ohio,Total,"168,456","8,902","10,233","8,966","12,426","13,499","10,464","11,346","10,203","10,982","7,971","10,038","11,458","9,799","9,628","9,020","5,828","4,352","3,341","19,199","6,385","34,486","19,540","68,920","138,327","133,970","125,568","41,968","38,169","32,169","13,521"
Greene County,Ohio,Percent,(X),5.30%,6.10%,5.30%,7.40%,8.00%,6.20%,6.70%,6.10%,6.50%,4.70%,6.00%,6.80%,5.80%,5.70%,5.40%,3.50%,2.60%,2.00%,11.40%,3.80%,20.50%,11.60%,40.90%,82.10%,79.50%,74.50%,24.90%,22.70%,19.10%,8.00%
Greene County,Ohio,Male,"84,604","4,957","5,518","4,931","6,797","6,645","5,375","5,916","5,175","5,722","3,795","4,704","6,134","4,741","4,459","4,212","2,358","1,836","1,329","10,449","3,535","18,941","9,907","35,630","68,098","65,663","61,438","18,935","17,072","14,194","5,523"
Greene County,Ohio,Percent Male,(X),5.90%,6.50%,5.80%,8.00%,7.90%,6.40%,7.00%,6.10%,6.80%,4.50%,5.60%,7.30%,5.60%,5.30%,5.00%,2.80%,2.20%,1.60%,12.40%,4.20%,22.40%,11.70%,42.10%,80.50%,77.60%,72.60%,22.40%,20.20%,16.80%,6.50%
Greene County,Ohio,Female,"83,852","3,945","4,715","4,035","5,629","6,854","5,089","5,430","5,028","5,260","4,176","5,334","5,324","5,058","5,169","4,808","3,470","2,516","2,012","8,750","2,850","15,545","9,633","33,290","70,229","68,307","64,130","23,033","21,097","17,975","7,998"
Greene County,Ohio,Percent Female,(X),4.70%,5.60%,4.80%,6.70%,8.20%,6.10%,6.50%,6.00%,6.30%,5.00%,6.40%,6.30%,6.00%,6.20%,5.70%,4.10%,3.00%,2.40%,10.40%,3.40%,18.50%,11.50%,39.70%,83.80%,81.50%,76.50%,27.50%,25.20%,21.40%,9.50%
Hamilton County,Ohio,Total,"825,037","50,525","49,255","54,520","55,599","54,084","61,229","62,066","56,417","49,420","42,866","47,158","48,618","54,153","45,898","36,445","26,344","14,078","16,362","103,775","31,800","186,100","77,883","338,815","661,372","638,937","603,107","193,280","172,134","139,127","56,784"
Hamilton County,Ohio,Percent,(X),6.10%,6.00%,6.60%,6.70%,6.60%,7.40%,7.50%,6.80%,6.00%,5.20%,5.70%,5.90%,6.60%,5.60%,4.40%,3.20%,1.70%,2.00%,12.60%,3.90%,22.60%,9.40%,41.10%,80.20%,77.40%,73.10%,23.40%,20.90%,16.90%,6.90%
Hamilton County,Ohio,Male,"401,298","25,606","25,136","27,838","28,252","26,999","31,178","30,646","27,027","24,794","21,291","23,132","23,261","26,176","20,190","17,702","11,054","5,774","5,242","52,974","16,049","94,629","39,202","168,896","317,606","306,669","288,282","86,138","75,261","59,962","22,070"
Hamilton County,Ohio,Percent Male,(X),6.40%,6.30%,6.90%,7.00%,6.70%,7.80%,7.60%,6.70%,6.20%,5.30%,5.80%,5.80%,6.50%,5.00%,4.40%,2.80%,1.40%,1.30%,13.20%,4.00%,23.60%,9.80%,42.10%,79.10%,76.40%,71.80%,21.50%,18.80%,14.90%,5.50%
Hamilton County,Ohio,Female,"423,739","24,919","24,119","26,682","27,347","27,085","30,051","31,420","29,390","24,626","21,575","24,026","25,357","27,977","25,708","18,743","15,290","8,304","11,120","50,801","15,751","91,471","38,681","169,919","343,766","332,268","314,825","107,142","96,873","79,165","34,714"
Hamilton County,Ohio,Percent Female,(X),5.90%,5.70%,6.30%,6.50%,6.40%,7.10%,7.40%,6.90%,5.80%,5.10%,5.70%,6.00%,6.60%,6.10%,4.40%,3.60%,2.00%,2.60%,12.00%,3.70%,21.60%,9.10%,40.10%,81.10%,78.40%,74.30%,25.30%,22.90%,18.70%,8.20%
Hancock County,Ohio,Total,"74,861","3,748","4,571","4,264","5,334","5,224","4,774","5,335","4,231","4,544","4,641","4,636","3,825","5,759","4,639","3,494","2,830","1,425","1,587","8,835","3,495","16,078","7,063","29,442","61,136","58,783","55,319","19,734","18,158","13,975","5,842"
Hancock County,Ohio,Percent,(X),5.00%,6.10%,5.70%,7.10%,7.00%,6.40%,7.10%,5.70%,6.10%,6.20%,6.20%,5.10%,7.70%,6.20%,4.70%,3.80%,1.90%,2.10%,11.80%,4.70%,21.50%,9.40%,39.30%,81.70%,78.50%,73.90%,26.40%,24.30%,18.70%,7.80%
Hancock County,Ohio,Male,"37,169","1,930","2,305","2,184","2,865","2,841","2,818","2,398","2,476","2,149","1,954","2,468","1,716","2,898","2,548","1,182","1,397",698,342,"4,489","2,095","8,514","3,611","15,547","29,990","28,655","26,889","9,065","7,972","6,167","2,437"
Hancock County,Ohio,Percent Male,(X),5.20%,6.20%,5.90%,7.70%,7.60%,7.60%,6.50%,6.70%,5.80%,5.30%,6.60%,4.60%,7.80%,6.90%,3.20%,3.80%,1.90%,0.90%,12.10%,5.60%,22.90%,9.70%,41.80%,80.70%,77.10%,72.30%,24.40%,21.40%,16.60%,6.60%
Hancock County,Ohio,Female,"37,692","1,818","2,266","2,080","2,469","2,383","1,956","2,937","1,755","2,395","2,687","2,168","2,109","2,861","2,091","2,312","1,433",727,"1,245","4,346","1,400","7,564","3,452","13,895","31,146","30,128","28,430","10,669","10,186","7,808","3,405"
Hancock County,Ohio,Percent Female,(X),4.80%,6.00%,5.50%,6.60%,6.30%,5.20%,7.80%,4.70%,6.40%,7.10%,5.80%,5.60%,7.60%,5.50%,6.10%,3.80%,1.90%,3.30%,11.50%,3.70%,20.10%,9.20%,36.90%,82.60%,79.90%,75.40%,28.30%,27.00%,20.70%,9.00%
Lake County,Ohio,Total,"231,842","11,123","9,519","14,811","13,846","13,951","12,515","14,592","13,366","14,342","13,306","15,612","16,251","18,328","14,417","15,204","8,619","5,598","6,442","24,330","8,694","44,147","19,103","82,612","192,739","187,695","179,663","68,608","61,017","50,280","20,659"
Lake County,Ohio,Percent,(X),4.80%,4.10%,6.40%,6.00%,6.00%,5.40%,6.30%,5.80%,6.20%,5.70%,6.70%,7.00%,7.90%,6.20%,6.60%,3.70%,2.40%,2.80%,10.50%,3.70%,19.00%,8.20%,35.60%,83.10%,81.00%,77.50%,29.60%,26.30%,21.70%,8.90%
Lake County,Ohio,Male,"115,072","6,276","4,992","7,640","7,320","7,588","6,368","6,837","7,014","6,939","7,227","7,548","8,712","8,226","7,336","6,819","3,551","1,954","2,725","12,632","4,685","23,593","10,223","42,066","93,925","91,479","87,230","30,611","27,102","22,385","8,230"
Lake County,Ohio,Percent Male,(X),5.50%,4.30%,6.60%,6.40%,6.60%,5.50%,5.90%,6.10%,6.00%,6.30%,6.60%,7.60%,7.10%,6.40%,5.90%,3.10%,1.70%,2.40%,11.00%,4.10%,20.50%,8.90%,36.60%,81.60%,79.50%,75.80%,26.60%,23.60%,19.50%,7.20%
Lake County,Ohio,Female,"116,770","4,847","4,527","7,171","6,526","6,363","6,147","7,755","6,352","7,403","6,079","8,064","7,539","10,102","7,081","8,385","5,068","3,644","3,717","11,698","4,009","20,554","8,880","40,546","98,814","96,216","92,433","37,997","33,915","27,895","12,429"
Lake County,Ohio,Percent Female,(X),4.20%,3.90%,6.10%,5.60%,5.40%,5.30%,6.60%,5.40%,6.30%,5.20%,6.90%,6.50%,8.70%,6.10%,7.20%,4.30%,3.10%,3.20%,10.00%,3.40%,17.60%,7.60%,34.70%,84.60%,82.40%,79.20%,32.50%,29.00%,23.90%,10.60%
Licking County,Ohio,Total,"181,359","10,305","10,164","13,107","11,824","12,012","9,590","10,982","11,204","13,102","10,408","11,717","12,812","11,800","10,644","9,018","5,750","4,435","2,485","23,271","7,574","41,150","16,262","68,714","144,764","140,209","133,056","44,132","39,105","32,332","12,670"
Licking County,Ohio,Percent,(X),5.70%,5.60%,7.20%,6.50%,6.60%,5.30%,6.10%,6.20%,7.20%,5.70%,6.50%,7.10%,6.50%,5.90%,5.00%,3.20%,2.40%,1.40%,12.80%,4.20%,22.70%,9.00%,37.90%,79.80%,77.30%,73.40%,24.30%,21.60%,17.80%,7.00%
Licking County,Ohio,Male,"90,413","5,139","5,073","6,822","6,297","6,233","4,909","5,486","5,352","6,645","5,423","5,891","6,484","5,782","5,563","4,027","2,071","2,254",962,"11,895","4,142","21,176","8,388","34,922","71,719","69,237","65,761","20,659","18,112","14,877","5,287"
Licking County,Ohio,Percent Male,(X),5.70%,5.60%,7.50%,7.00%,6.90%,5.40%,6.10%,5.90%,7.30%,6.00%,6.50%,7.20%,6.40%,6.20%,4.50%,2.30%,2.50%,1.10%,13.20%,4.60%,23.40%,9.30%,38.60%,79.30%,76.60%,72.70%,22.80%,20.00%,16.50%,5.80%
Licking County,Ohio,Female,"90,946","5,166","5,091","6,285","5,527","5,779","4,681","5,496","5,852","6,457","4,985","5,826","6,328","6,018","5,081","4,991","3,679","2,181","1,523","11,376","3,432","19,974","7,874","33,792","73,045","70,972","67,295","23,473","20,993","17,455","7,383"
Licking County,Ohio,Percent Female,(X),5.70%,5.60%,6.90%,6.10%,6.40%,5.10%,6.00%,6.40%,7.10%,5.50%,6.40%,7.00%,6.60%,5.60%,5.50%,4.00%,2.40%,1.70%,12.50%,3.80%,22.00%,8.70%,37.20%,80.30%,78.00%,74.00%,25.80%,23.10%,19.20%,8.10%
Lorain County,Ohio,Total,"316,268","16,802","18,908","19,688","20,032","19,402","16,760","18,336","15,630","22,795","20,204","20,906","21,686","22,168","20,205","17,154","10,524","7,639","7,429","38,596","12,326","67,724","27,108","112,955","257,225","248,544","236,380","85,119","74,834","62,951","25,592"
Lorain County,Ohio,Percent,(X),5.30%,6.00%,6.20%,6.30%,6.10%,5.30%,5.80%,4.90%,7.20%,6.40%,6.60%,6.90%,7.00%,6.40%,5.40%,3.30%,2.40%,2.30%,12.20%,3.90%,21.40%,8.60%,35.70%,81.30%,78.60%,74.70%,26.90%,23.70%,19.90%,8.10%
Lorain County,Ohio,Male,"156,670","8,353","8,370","11,584","10,834","9,959","8,548","8,804","8,112","11,878","9,933","10,568","11,348","10,230","9,997","7,732","4,590","3,261","2,569","19,954","6,459","34,766","14,334","58,135","126,482","121,904","114,797","38,379","33,411","28,149","10,420"
Lorain County,Ohio,Percent Male,(X),5.30%,5.30%,7.40%,6.90%,6.40%,5.50%,5.60%,5.20%,7.60%,6.30%,6.70%,7.20%,6.50%,6.40%,4.90%,2.90%,2.10%,1.60%,12.70%,4.10%,22.20%,9.10%,37.10%,80.70%,77.80%,73.30%,24.50%,21.30%,18.00%,6.70%
Lorain County,Ohio,Female,"159,598","8,449","10,538","8,104","9,198","9,443","8,212","9,532","7,518","10,917","10,271","10,338","10,338","11,938","10,208","9,422","5,934","4,378","4,860","18,642","5,867","32,958","12,774","54,820","130,743","126,640","121,583","46,740","41,423","34,802","15,172"
Lorain County,Ohio,Percent Female,(X),5.30%,6.60%,5.10%,5.80%,5.90%,5.10%,6.00%,4.70%,6.80%,6.40%,6.50%,6.50%,7.50%,6.40%,5.90%,3.70%,2.70%,3.00%,11.70%,3.70%,20.70%,8.00%,34.30%,81.90%,79.30%,76.20%,29.30%,26.00%,21.80%,9.50%
Lucas County,Ohio,Total,"426,643","25,272","23,086","31,716","28,335","27,686","28,728","31,269","24,593","26,643","22,856","26,519","24,378","30,608","27,373","18,772","12,580","9,349","6,880","54,802","16,595","96,669","39,426","167,254","342,186","329,974","313,496","105,562","92,878","74,954","28,809"
Lucas County,Ohio,Percent,(X),5.90%,5.40%,7.40%,6.60%,6.50%,6.70%,7.30%,5.80%,6.20%,5.40%,6.20%,5.70%,7.20%,6.40%,4.40%,2.90%,2.20%,1.60%,12.80%,3.90%,22.70%,9.20%,39.20%,80.20%,77.30%,73.50%,24.70%,21.80%,17.60%,6.80%
Lucas County,Ohio,Male,"207,894","12,972","11,383","16,685","14,570","13,756","14,354","15,492","12,166","12,591","11,201","13,014","11,825","15,072","12,833","8,600","5,398","3,731","2,251","28,068","8,471","49,511","19,855","82,929","164,414","158,383","150,291","47,885","41,669","32,813","11,380"
Lucas County,Ohio,Percent Male,(X),6.20%,5.50%,8.00%,7.00%,6.60%,6.90%,7.50%,5.90%,6.10%,5.40%,6.30%,5.70%,7.20%,6.20%,4.10%,2.60%,1.80%,1.10%,13.50%,4.10%,23.80%,9.60%,39.90%,79.10%,76.20%,72.30%,23.00%,20.00%,15.80%,5.50%
Lucas County,Ohio,Female,"218,749","12,300","11,703","15,031","13,765","13,930","14,374","15,777","12,427","14,052","11,655","13,505","12,553","15,536","14,540","10,172","7,182","5,618","4,629","26,734","8,124","47,158","19,571","84,325","177,772","171,591","163,205","57,677","51,209","42,141","17,429"
Lucas County,Ohio,Percent Female,(X),5.60%,5.30%,6.90%,6.30%,6.40%,6.60%,7.20%,5.70%,6.40%,5.30%,6.20%,5.70%,7.10%,6.60%,4.70%,3.30%,2.60%,2.10%,12.20%,3.70%,21.60%,8.90%,38.50%,81.30%,78.40%,74.60%,26.40%,23.40%,19.30%,8.00%
Mahoning County,Ohio,Total,"225,636","11,807","11,762","13,433","13,848","14,650","12,383","13,555","11,210","13,682","12,688","14,257","13,638","17,703","16,013","14,172","8,173","6,411","6,251","25,195","8,268","45,270","20,230","79,328","185,555","180,366","172,732","68,723","61,746","51,020","20,835"
Mahoning County,Ohio,Percent,(X),5.20%,5.20%,6.00%,6.10%,6.50%,5.50%,6.00%,5.00%,6.10%,5.60%,6.30%,6.00%,7.80%,7.10%,6.30%,3.60%,2.80%,2.80%,11.20%,3.70%,20.10%,9.00%,35.20%,82.20%,79.90%,76.60%,30.50%,27.40%,22.60%,9.20%
Mahoning County,Ohio,Male,"110,768","6,066","5,824","6,894","6,853","8,088","6,299","7,194","6,040","6,446","6,407","7,080","6,571","8,695","7,725","6,380","3,770","1,692","2,744","12,718","4,188","22,972","10,753","40,920","90,477","87,796","83,804","31,006","27,350","22,311","8,206"
Mahoning County,Ohio,Percent Male,(X),5.50%,5.30%,6.20%,6.20%,7.30%,5.70%,6.50%,5.50%,5.80%,5.80%,6.40%,5.90%,7.80%,7.00%,5.80%,3.40%,1.50%,2.50%,11.50%,3.80%,20.70%,9.70%,36.90%,81.70%,79.30%,75.70%,28.00%,24.70%,20.10%,7.40%
Mahoning County,Ohio,Female,"114,868","5,741","5,938","6,539","6,995","6,562","6,084","6,361","5,170","7,236","6,281","7,177","7,067","9,008","8,288","7,792","4,403","4,719","3,507","12,477","4,080","22,298","9,477","38,408","95,078","92,570","88,928","37,717","34,396","28,709","12,629"
Mahoning County,Ohio,Percent Female,(X),5.00%,5.20%,5.70%,6.10%,5.70%,5.30%,5.50%,4.50%,6.30%,5.50%,6.20%,6.20%,7.80%,7.20%,6.80%,3.80%,4.10%,3.10%,10.90%,3.60%,19.40%,8.30%,33.40%,82.80%,80.60%,77.40%,32.80%,29.90%,25.00%,11.00%
Marion County,Ohio,Total,"64,642","3,147","4,754","2,919","4,729","3,577","4,069","4,432","5,067","3,316","3,920","4,134","4,783","3,618","3,985","3,438","2,241","1,262","1,251","7,673","2,941","13,761","5,365","25,190","52,806","50,881","48,167","15,795","14,203","12,177","4,754"
Marion County,Ohio,Percent,(X),4.90%,7.40%,4.50%,7.30%,5.50%,6.30%,6.90%,7.80%,5.10%,6.10%,6.40%,7.40%,5.60%,6.20%,5.30%,3.50%,2.00%,1.90%,11.90%,4.50%,21.30%,8.30%,39.00%,81.70%,78.70%,74.50%,24.40%,22.00%,18.80%,7.40%
Marion County,Ohio,Male,"33,911","1,646","2,376","1,834","1,429","2,432","2,314","2,605","2,732","1,916","2,197","2,362","2,882","1,480","2,395","1,364","1,208",490,249,"4,210",739,"6,595","3,122","13,428","27,843","27,316","25,849","7,186","6,345","5,706","1,947"
Marion County,Ohio,Percent Male,(X),4.90%,7.00%,5.40%,4.20%,7.20%,6.80%,7.70%,8.10%,5.70%,6.50%,7.00%,8.50%,4.40%,7.10%,4.00%,3.60%,1.40%,0.70%,12.40%,2.20%,19.40%,9.20%,39.60%,82.10%,80.60%,76.20%,21.20%,18.70%,16.80%,5.70%
Marion County,Ohio,Female,"30,731","1,501","2,378","1,085","3,300","1,145","1,755","1,827","2,335","1,400","1,723","1,772","1,901","2,138","1,590","2,074","1,033",772,"1,002","3,463","2,202","7,166","2,243","11,762","24,963","23,565","22,318","8,609","7,858","6,471","2,807"
Marion County,Ohio,Percent Female,(X),4.90%,7.70%,3.50%,10.70%,3.70%,5.70%,5.90%,7.60%,4.60%,5.60%,5.80%,6.20%,7.00%,5.20%,6.70%,3.40%,2.50%,3.30%,11.30%,7.20%,23.30%,7.30%,38.30%,81.20%,76.70%,72.60%,28.00%,25.60%,21.10%,9.10%
Medina County,Ohio,Total,"183,512","8,868","9,534","12,600","11,556","10,129","8,747","10,039","12,292","11,499","11,135","13,386","11,429","15,304","12,991","8,743","5,965","4,674","4,621","22,134","7,799","38,801","13,886","64,262","149,846","144,711","139,316","52,298","46,307","36,994","15,260"
Medina County,Ohio,Percent,(X),4.80%,5.20%,6.90%,6.30%,5.50%,4.80%,5.50%,6.70%,6.30%,6.10%,7.30%,6.20%,8.30%,7.10%,4.80%,3.30%,2.50%,2.50%,12.10%,4.20%,21.10%,7.60%,35.00%,81.70%,78.90%,75.90%,28.50%,25.20%,20.20%,8.30%
Medina County,Ohio,Male,"91,712","4,584","4,380","6,837","6,097","5,387","4,426","5,141","6,405","5,744","5,584","6,737","6,102","7,199","6,385","4,137","2,703","2,311","1,553","11,217","3,982","19,783","7,502","33,200","74,453","71,929","68,979","24,288","21,654","17,089","6,567"
Medina County,Ohio,Percent Male,(X),5.00%,4.80%,7.50%,6.60%,5.90%,4.80%,5.60%,7.00%,6.30%,6.10%,7.30%,6.70%,7.80%,7.00%,4.50%,2.90%,2.50%,1.70%,12.20%,4.30%,21.60%,8.20%,36.20%,81.20%,78.40%,75.20%,26.50%,23.60%,18.60%,7.20%
Medina County,Ohio,Female,"91,800","4,284","5,154","5,763","5,459","4,742","4,321","4,898","5,887","5,755","5,551","6,649","5,327","8,105","6,606","4,606","3,262","2,363","3,068","10,917","3,817","19,018","6,384","31,062","75,393","72,782","70,337","28,010","24,653","19,905","8,693"
Medina County,Ohio,Percent Female,(X),4.70%,5.60%,6.30%,5.90%,5.20%,4.70%,5.30%,6.40%,6.30%,6.00%,7.20%,5.80%,8.80%,7.20%,5.00%,3.60%,2.60%,3.30%,11.90%,4.20%,20.70%,7.00%,33.80%,82.10%,79.30%,76.60%,30.50%,26.90%,21.70%,9.50%
Miami County,Ohio,Total,"110,247","5,951","7,426","7,360","6,523","5,915","5,652","6,447","5,938","8,158","6,456","7,131","8,015","7,738","7,117","5,578","4,331","1,947","2,564","14,786","4,315","25,052","8,123","38,633","88,288","85,195","82,022","29,275","26,343","21,537","8,842"
Miami County,Ohio,Percent,(X),5.40%,6.70%,6.70%,5.90%,5.40%,5.10%,5.80%,5.40%,7.40%,5.90%,6.50%,7.30%,7.00%,6.50%,5.10%,3.90%,1.80%,2.30%,13.40%,3.90%,22.70%,7.40%,35.00%,80.10%,77.30%,74.40%,26.60%,23.90%,19.50%,8.00%
Miami County,Ohio,Male,"55,590","3,002","4,179","3,472","3,514","2,836","3,081","3,403","2,984","4,366","3,453","3,546","4,174","3,838","3,482","2,551","2,461",753,495,"7,651","2,291","12,944","4,059","20,184","44,362","42,646","40,797","13,580","12,075","9,742","3,709"
Miami County,Ohio,Percent Male,(X),5.40%,7.50%,6.20%,6.30%,5.10%,5.50%,6.10%,5.40%,7.90%,6.20%,6.40%,7.50%,6.90%,6.30%,4.60%,4.40%,1.40%,0.90%,13.80%,4.10%,23.30%,7.30%,36.30%,79.80%,76.70%,73.40%,24.40%,21.70%,17.50%,6.70%
Miami County,Ohio,Female,"54,657","2,949","3,247","3,888","3,009","3,079","2,571","3,044","2,954","3,792","3,003","3,585","3,841","3,900","3,635","3,027","1,870","1,194","2,069","7,135","2,024","12,108","4,064","18,449","43,926","42,549","41,225","15,695","14,268","11,795","5,133"
Miami County,Ohio,Percent Female,(X),5.40%,5.90%,7.10%,5.50%,5.60%,4.70%,5.60%,5.40%,6.90%,5.50%,6.60%,7.00%,7.10%,6.70%,5.50%,3.40%,2.20%,3.80%,13.10%,3.70%,22.20%,7.40%,33.80%,80.40%,77.80%,75.40%,28.70%,26.10%,21.60%,9.40%
Montgomery County,Ohio,Total,"533,892","31,189","34,389","30,889","32,866","36,650","36,661","37,912","32,955","32,601","27,625","31,694","34,060","34,353","29,410","27,937","20,142","11,265","11,294","65,278","20,295","116,762","49,221","209,645","430,846","417,130","397,966","134,401","120,301","100,048","42,701"
Montgomery County,Ohio,Percent,(X),5.80%,6.40%,5.80%,6.20%,6.90%,6.90%,7.10%,6.20%,6.10%,5.20%,5.90%,6.40%,6.40%,5.50%,5.20%,3.80%,2.10%,2.10%,12.20%,3.80%,21.90%,9.20%,39.30%,80.70%,78.10%,74.50%,25.20%,22.50%,18.70%,8.00%
Montgomery County,Ohio,Male,"258,205","15,952","18,352","14,876","16,836","18,703","18,279","17,970","16,524","16,209","13,567","14,972","16,864","16,445","14,005","11,912","8,266","4,945","3,528","33,228","10,316","59,496","25,223","104,521","205,336","198,709","188,421","59,101","53,402","42,656","16,739"
Montgomery County,Ohio,Percent Male,(X),6.20%,7.10%,5.80%,6.50%,7.20%,7.10%,7.00%,6.40%,6.30%,5.30%,5.80%,6.50%,6.40%,5.40%,4.60%,3.20%,1.90%,1.40%,12.90%,4.00%,23.00%,9.80%,40.50%,79.50%,77.00%,73.00%,22.90%,20.70%,16.50%,6.50%
Montgomery County,Ohio,Female,"275,687","15,237","16,037","16,013","16,030","17,947","18,382","19,942","16,431","16,392","14,058","16,722","17,196","17,908","15,405","16,025","11,876","6,320","7,766","32,050","9,979","57,266","23,998","105,124","225,510","218,421","209,545","75,300","66,899","57,392","25,962"
Montgomery County,Ohio,Percent Female,(X),5.50%,5.80%,5.80%,5.80%,6.50%,6.70%,7.20%,6.00%,5.90%,5.10%,6.10%,6.20%,6.50%,5.60%,5.80%,4.30%,2.30%,2.80%,11.60%,3.60%,20.80%,8.70%,38.10%,81.80%,79.20%,76.00%,27.30%,24.30%,20.80%,9.40%
Muskingum County,Ohio,Total,"86,113","5,038","5,095","5,589","5,478","5,746","5,725","5,144","4,640","5,319","4,886","5,764","5,848","5,826","5,764","3,994","2,670","1,850","1,737","10,684","3,613","19,335","7,611","32,052","69,231","66,778","63,929","21,841","19,599","16,015","6,257"
Muskingum County,Ohio,Percent,(X),5.90%,5.90%,6.50%,6.40%,6.70%,6.60%,6.00%,5.40%,6.20%,5.70%,6.70%,6.80%,6.80%,6.70%,4.60%,3.10%,2.10%,2.00%,12.40%,4.20%,22.50%,8.80%,37.20%,80.40%,77.50%,74.20%,25.40%,22.80%,18.60%,7.30%
Muskingum County,Ohio,Male,"42,265","2,457","2,560","2,848","2,508","2,878","3,036","2,577","2,029","2,796","2,516","3,110","2,989","2,715","2,773","1,941","1,292",578,662,"5,408","1,656","9,521","3,730","15,824","34,070","32,744","31,349","9,961","8,963","7,246","2,532"
Muskingum County,Ohio,Percent Male,(X),5.80%,6.10%,6.70%,5.90%,6.80%,7.20%,6.10%,4.80%,6.60%,6.00%,7.40%,7.10%,6.40%,6.60%,4.60%,3.10%,1.40%,1.60%,12.80%,3.90%,22.50%,8.80%,37.40%,80.60%,77.50%,74.20%,23.60%,21.20%,17.10%,6.00%
Muskingum County,Ohio,Female,"43,848","2,581","2,535","2,741","2,970","2,868","2,689","2,567","2,611","2,523","2,370","2,654","2,859","3,111","2,991","2,053","1,378","1,272","1,075","5,276","1,957","9,814","3,881","16,228","35,161","34,034","32,580","11,880","10,636","8,769","3,725"
Muskingum County,Ohio,Percent Female,(X),5.90%,5.80%,6.30%,6.80%,6.50%,6.10%,5.90%,6.00%,5.80%,5.40%,6.10%,6.50%,7.10%,6.80%,4.70%,3.10%,2.90%,2.50%,12.00%,4.50%,22.40%,8.90%,37.00%,80.20%,77.60%,74.30%,27.10%,24.30%,20.00%,8.50%
Portage County,Ohio,Total,"161,745","7,245","7,318","8,288","12,830","18,057","10,470","8,818","7,468","11,199","8,212","10,154","9,942","11,743","10,079","7,864","5,273","3,209","3,576","15,606","5,474","28,325","25,413","68,842","136,467","133,420","120,952","41,744","37,210","30,001","12,058"
Portage County,Ohio,Percent,(X),4.50%,4.50%,5.10%,7.90%,11.20%,6.50%,5.50%,4.60%,6.90%,5.10%,6.30%,6.10%,7.30%,6.20%,4.90%,3.30%,2.00%,2.20%,9.60%,3.40%,17.50%,15.70%,42.60%,84.40%,82.50%,74.80%,25.80%,23.00%,18.50%,7.50%
Portage County,Ohio,Male,"79,841","3,744","4,277","3,511","5,785","8,704","5,418","4,806","4,253","5,340","4,203","4,992","4,727","5,945","5,523","3,352","2,552","1,208","1,501","7,788","2,526","14,058","11,963","34,306","67,186","65,783","59,933","20,081","17,604","14,136","5,261"
Portage County,Ohio,Percent Male,(X),4.70%,5.40%,4.40%,7.20%,10.90%,6.80%,6.00%,5.30%,6.70%,5.30%,6.30%,5.90%,7.40%,6.90%,4.20%,3.20%,1.50%,1.90%,9.80%,3.20%,17.60%,15.00%,43.00%,84.10%,82.40%,75.10%,25.20%,22.00%,17.70%,6.60%
Portage County,Ohio,Female,"81,904","3,501","3,041","4,777","7,045","9,353","5,052","4,012","3,215","5,859","4,009","5,162","5,215","5,798","4,556","4,512","2,721","2,001","2,075","7,818","2,948","14,267","13,450","34,536","69,281","67,637","61,019","21,663","19,606","15,865","6,797"
Portage County,Ohio,Percent Female,(X),4.30%,3.70%,5.80%,8.60%,11.40%,6.20%,4.90%,3.90%,7.20%,4.90%,6.30%,6.40%,7.10%,5.60%,5.50%,3.30%,2.40%,2.50%,9.50%,3.60%,17.40%,16.40%,42.20%,84.60%,82.60%,74.50%,26.40%,23.90%,19.40%,8.30%
Richland County,Ohio,Total,"125,319","6,831","5,480","9,767","8,011","7,730","8,663","7,820","7,703","7,784","7,196","7,135","7,035","9,214","7,697","6,696","5,637","2,351","2,569","15,247","4,937","27,015","10,804","47,711","101,101","98,304","93,741","34,164","30,145","24,950","10,557"
Richland County,Ohio,Percent,(X),5.50%,4.40%,7.80%,6.40%,6.20%,6.90%,6.20%,6.10%,6.20%,5.70%,5.70%,5.60%,7.40%,6.10%,5.30%,4.50%,1.90%,2.00%,12.20%,3.90%,21.60%,8.60%,38.10%,80.70%,78.40%,74.80%,27.30%,24.10%,19.90%,8.40%
Richland County,Ohio,Male,"65,074","3,469","2,978","4,937","4,244","4,862","4,830","4,454","4,556","4,134","3,656","3,799","3,655","4,224","4,372","2,567","2,386","1,268",683,"7,915","2,605","13,989","6,501","27,080","52,723","51,085","48,447","15,500","13,471","11,276","4,337"
